# COVERAGE.tsv — Pillar 1 completeness ledger (Stage A first pass)
# audio-cell universe = 964 render-read offsets; 269 value-tree leaves swept
# STATUS: APPLIED=port writes all its audio cells (verify laws in Pillar 3);
#   GAP=port never writes a render-read cell this leaf writes (FIX these);
#   SILENT=wrote no audio cell in tested FX contexts. SILENT is NOT yet
#   resolved: it splits into performance features provably outside preset
#   audio (PAT3_SEQ_* sequencer, PAT2_CHORD chord-memory) that need an
#   INERT proof, and FX leaves (PAT2_FL flanger, PAT2_MFX mode-5, some
#   REV/CHO) that need their activating FX-mode context re-swept (the
#   chorus cuts proved this: SILENT here, but ext_sweeps shows they DO
#   write cells). Ledger is airtight only when SILENT=0 (every row
#   APPLIED/GAP/INERT-PROVEN). This first pass delivers the GAP LIST.
# KNOWN SOFT EDGE (honest): classification uses ISOLATED leaf dispatch +
#   memory-write instrumentation. It is SOLID for GAP (a render-read cell no
#   patch's port-recall writes, port_writeset spans all 6 effect types) and
#   for APPLIED (port writes the cell). The INERT-PROVEN detail
#   'no_engine_write_in_12_contexts' is WEAKER: a CONDITIONAL setter (e.g.
#   disp 854 (F ENV VARIATION) = VCF env-source, which the port DOES apply)
#   can write nothing in isolation -> such rows are applied-but-mislabeled,
#   NOT gaps. Hardening these + the UNRESOLVED FX leaves requires the
#   full-value-tree recall differential (drive every leaf at a patch's
#   value in port AND plugin, diff state) — the defined next step. The
#   GAP worklist below is unaffected by this soft edge.
disp	family	struct	name	status	detail
744	SYSTEM	SYS_COM	Local SW	INERT-PROVEN	no_engine_write_in_12_contexts
745	SYSTEM	SYS_COM	Master Tune (SYSTEM-1)	INERT-PROVEN	no_engine_write_in_12_contexts
746	SYSTEM	SYS_COM	MASTER TUNE	INERT-PROVEN	no_engine_write_in_12_contexts
747	SYNTH	SYN_COM	VOLUME	INERT-PROVEN	no_engine_write_in_12_contexts
748	SYNTH	SYN_COM	TRANSPOSE	INERT-PROVEN	no_engine_write_in_12_contexts
749	SYNTH	SYN_COM	TEMPO	INERT-PROVEN	no_engine_write_in_12_contexts
750	PATCH	LFO	(LFO WAVE)	INERT-PROVEN	no_engine_write_in_12_contexts
751	PATCH	LFO	LFO DELAY TIME	APPLIED	port_cells=16,all_covered
752	PATCH	LFO	LFO RATE	APPLIED	port_cells=24,all_covered
753	PATCH	LFO	DCO LFO MOD	APPLIED	port_cells=8,all_covered
754	PATCH	LFO	VCF LFO MOD	APPLIED	port_cells=8,all_covered
755	PATCH	LFO	(LFO AMP DEPTH)	INERT-PROVEN	no_engine_write_in_12_contexts
756	PATCH	LFO	LFO KEY TRIG	APPLIED	port_cells=8,all_covered
757	PATCH	OSC1	(OSC1 WAVE)	INERT-PROVEN	nonaudio_writes=2(not_port,not_render-read)
758	PATCH	OSC1	DCO PWM DEPTH	APPLIED	port_cells=8,all_covered
759	PATCH	OSC1	DCO PWM SOURCE	APPLIED	port_cells=32,all_covered
760	PATCH	OSC1	DCO RANGE	APPLIED	port_cells=8,all_covered
761	PATCH	OSC1	(OSC1 CROSS MOD)	INERT-PROVEN	no_engine_write_in_12_contexts
762	PATCH	OSC2	(OSC2 WAVE)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
763	PATCH	OSC2	(OSC2 COLOR)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
764	PATCH	OSC2	(OSC2 MOD)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
765	PATCH	OSC2	(OSC2 RANGE)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
766	PATCH	OSC2	(OSC2 FINE TUNE)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
767	PATCH	OSC2	(OSC2 RING)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
768	PATCH	OSC2	(OSC2 SYNC)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
769	PATCH	OSC2	(OSC2 COARSE TUNE)	INERT-PROVEN	SYSTEM-8-mode param (out of JUNO-60 scope); no cell in JUNO-60 recall
770	PATCH	MIX	DCO PWM LEVEL	APPLIED	port_cells=8,all_covered
771	PATCH	MIX	DCO SAW LEVEL	APPLIED	port_cells=8,all_covered
772	PATCH	MIX	DCO SUB LEVEL	APPLIED	port_cells=8,all_covered
