# EQUIVALENCE.tsv -- THE ENGINE B EQUIVALENCE LEDGER.
#
# EVERY ROW IN THIS FILE WAS EMITTED BY tools/engineb/ledger.py FROM A RUN OF THE
# PROOF IT DESCRIBES. Do not hand-write a row and do not hand-edit a number:
# `python3 tools/engineb/ledger.py check` re-hashes every artefact a row depends
# on and recomputes each row's own digest, and reports STALE (an artefact moved
# under the row) or FORGED (the row's numbers no longer match its digest).
#
# Rows are APPEND-ONLY. A module that changes gets a NEW row; the old row stays
# and goes STALE, which is the audit trail.
#
# WHAT A GREEN ROW MEANS: engine B's module nulls against src/, the frozen
# transcription, in the scenarios named by scen_fingerprint. src/ is NOT the
# ground truth -- the plugin binary is (docs/trackb/THREE_WAY_GATE.md). The
# `authority` column carries that caveat per row and it is not decoration.
#
# COST COLUMNS are `lo..hi (nom)` cycles per SAMPLE, from tools/engineb/cost.py.
# Every S3 figure is MODELED against NO SILICON. Read cost_caveat before quoting
# one. The budget is 3500 cyc/sample (hard limit 5000).
#
# Legacy M0-HARNESS rows (2026-07-31, the Track B harness, a different and
# hand-written schema) are preserved verbatim in EQUIVALENCE_M0_LEGACY.tsv.
row_id	module	file	replaces	status	accuracy_kind	accuracy_evidence	accuracy_margin	scenarios	scen_fingerprint	inv_per_sample	inv_label	inv_source	cyc_host	cyc_m7	cyc_s3	s3_pct_budget	cost_label	cost_caveat	gate	gate_exit	gate_stdout_sha	file_sha	proof_sha	gate_sha	tool_sha	scen_sha	date	commit	toolchain	authority	notes	row_digest
noise_lfsr@2fc5b30	noise_lfsr	engine_b/noise_lfsr.h	src/voice_render.c analog-noise LFSR (per-voice block 84272..84436, byte-identical across units -- PROVEN autonomous, docs/RENDER_LOOP_LOG.md)	GREEN	BIT_IDENTICAL	bit-identical over 200,000 consecutive oracle samples (docs/engineb/data/noise_core_200k.npy, float32 bit compare)	EXACTLY 0 (-inf dB)	n/a (exhaustive over the captured sequence)	n/a (not scenario-based)	1	STATIC	engine_b/eb_engine.c steps the SHARED generator exactly once per rendered sample (one instance for the whole engine, not per voice); the port computes it inside every voice	3..16 (6)	6..30 (10)	12..38 (17)	0.3%..1.1% (0.5%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	wrapper is a non-inlined call, so entry/ret is charged that an inlined use would not pay	python3 tools/engineb/ledger.py emit noise_lfsr -> cc engine_b/test_noise_lfsr.c && run	0	32019940d6cd4636	17f9f2da3250d621	42c24da339b50d70	9dc4aec9627790af	9fc57f699c8e72c8	30:8fe377bd13ad0e8c	2026-08-02	2fc5b30	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	No approximation: the same 25-bit LFSR recurrence and the same float bits after scaling. The ACCURACY_STANDARD claim that 'analog' noise can only be matched spectrally is refuted here by execution.	bfe73c2f20bdb80d
triangle@2fc5b30	triangle	engine_b/triangle.h	src/juno_dsp.c:54 juno_triangle	GREEN	BIT_IDENTICAL	bit-identical to src/juno_dsp.c juno_triangle over 4,278,190,082 of 2^32 float32 bit patterns (16,777,214 NaN skipped), 0 mismatches	EXACTLY 0 (-inf dB)	n/a (exhaustive over the whole input domain)	n/a (not scenario-based)	104	MEASURED-ON-ORACLE	callgrind on tools/engineb/cost_harness.c, delta of 1400 and 400 sample runs, 8 voices, patch 0, 48 kHz: 104,000 juno_triangle calls / 1000 samples = 104.0 = 8 voices x 13 voice_render sites; the 3 master_render sites executed 0 times. ENGINE B'S DCO IS NOT WRITTEN, so 104 is the ORACLE'S rate -- the number to BEAT, not engine B's own	1,579..8,861 (3,001)	3,260..24,128 (6,965)	4,519..17,826 (7,188)	129.1%..509.3% (205.4%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	THE RIG'S STATIC COUNT CHARGES 2 fmodf CALLS THAT DO NOT EXECUTE: callgrind measured 0 fmodf calls and 19.0 dynamic x86 instr per juno_triangle call over 104,000 invocations, i.e. the far-out-of-range wrap branch is never taken in the rendered scenarios. The libm term is therefore subtracted here. The un-subtracted worst case is in notes	python3 tools/engineb/ledger.py emit triangle -> cc engine_b/test_triangle.c && run (2^32 sweep, ~85 s)	0	97abc9a354fa393a	2b1d02bf09a1fecc	dfb8f9c0c2737325	9dc4aec9627790af	9fc57f699c8e72c8	30:8fe377bd13ad0e8c	2026-08-02	2fc5b30	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	Un-subtracted worst case, if the fmodf branch WERE taken every call: s3 13,671..80,226 (26,844) cyc/sample. 	f54d1b2eb0401a5e
env@2fc5b30	env	engine_b/eb_envgen.c	src/voice_render.c:965-1075 (ENV1 971-1021, ENV2 1026-1075)	GREEN	NULL_SAMPLE_DOMAIN	30/30 scenarios PASS, 30 of them residual EXACTLY 0	EXACTLY 0	30/30 (fingerprint 8fe377bd13ad0e8c)	8fe377bd13ad0e8c	16	STATIC	engine_b/shim/env/voice_render.c:1059 -- one eb_env_tick per (voice, envelope) = 8 voices x 2 envelopes = 16/sample, and the port runs both envelopes of all 8 voices every sample whatever the polyphony (the 91% idle floor)	222..1,190 (411)	686..4,728 (1,442)	739..3,098 (1,188)	21.1%..88.5% (34.0%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	eb_env_tick makes no libm call (the port's fminf is replaced by a comparison); the band is CPI and rho spread only	python3 tools/engineb/null_b.py --module env	0	93c1481b175394e7	b41e7139461c5bda	c61169002f223351	9dc4aec9627790af	9fc57f699c8e72c8	30:8fe377bd13ad0e8c	2026-08-02	2fc5b30	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	The two algebraic simplifications that would have been wrong are refused by construction and documented in eb_envgen.c: the slew constant loses the step's low mantissa bits through exponent 2^3, and the release rate keeps its rel/r cancellation terms.	5573b7415051c4cc
noise_lfsr@95d178f	noise_lfsr	engine_b/noise_lfsr.h	src/voice_render.c analog-noise LFSR (per-voice block 84272..84436, byte-identical across units -- PROVEN autonomous, docs/RENDER_LOOP_LOG.md)	GREEN	BIT_IDENTICAL	bit-identical over 200,000 consecutive oracle samples (docs/engineb/data/noise_core_200k.npy, float32 bit compare)	EXACTLY 0 (-inf dB)	n/a (exhaustive over the captured sequence)	n/a (not scenario-based)	1	STATIC	engine_b/eb_engine.c steps the SHARED generator exactly once per rendered sample (one instance for the whole engine, not per voice); the port computes it inside every voice	3..16 (6)	6..30 (10)	12..38 (17)	0.3%..1.1% (0.5%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	wrapper is a non-inlined call, so entry/ret is charged that an inlined use would not pay	python3 tools/engineb/ledger.py emit noise_lfsr -> cc engine_b/test_noise_lfsr.c && run	0	32019940d6cd4636	17f9f2da3250d621	42c24da339b50d70	bfc14a6e6c51fe67	70d6ce03dcb99c48	30:8fe377bd13ad0e8c	2026-08-02	95d178f	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	No approximation: the same 25-bit LFSR recurrence and the same float bits after scaling. The ACCURACY_STANDARD claim that 'analog' noise can only be matched spectrally is refuted here by execution.	53a7902315cc495d
triangle@95d178f	triangle	engine_b/triangle.h	src/juno_dsp.c:54 juno_triangle	GREEN	BIT_IDENTICAL	bit-identical to src/juno_dsp.c juno_triangle over 4,278,190,082 of 2^32 float32 bit patterns (16,777,214 NaN skipped), 0 mismatches	EXACTLY 0 (-inf dB)	n/a (exhaustive over the whole input domain)	n/a (not scenario-based)	104	MEASURED-ON-ORACLE	callgrind on tools/engineb/cost_harness.c, delta of 1400 and 400 sample runs, 8 voices, patch 0, 48 kHz: 104,000 juno_triangle calls / 1000 samples = 104.0 = 8 voices x 13 voice_render sites; the 3 master_render sites executed 0 times. ENGINE B'S DCO IS NOT WRITTEN, so 104 is the ORACLE'S rate -- the number to BEAT, not engine B's own	1,579..8,861 (3,001)	3,260..24,128 (6,965)	4,519..17,826 (7,188)	129.1%..509.3% (205.4%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	THE RIG'S STATIC COUNT CHARGES 2 fmodf CALLS THAT DO NOT EXECUTE: callgrind measured 0 fmodf calls and 19.0 dynamic x86 instr per juno_triangle call over 104,000 invocations, i.e. the far-out-of-range wrap branch is never taken in the rendered scenarios. The libm term is therefore subtracted here. The un-subtracted worst case is in notes	python3 tools/engineb/ledger.py emit triangle -> cc engine_b/test_triangle.c && run (2^32 sweep, ~85 s)	0	97abc9a354fa393a	2b1d02bf09a1fecc	dfb8f9c0c2737325	bfc14a6e6c51fe67	70d6ce03dcb99c48	30:8fe377bd13ad0e8c	2026-08-02	95d178f	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	Un-subtracted worst case, if the fmodf branch WERE taken every call: s3 13,671..80,226 (26,844) cyc/sample. 	f2decf4c20dfb68b
env@95d178f	env	engine_b/eb_envgen.c	src/voice_render.c:965-1075 (ENV1 971-1021, ENV2 1026-1075)	GREEN	NULL_SAMPLE_DOMAIN	30/30 scenarios PASS, 30 of them residual EXACTLY 0	EXACTLY 0	30/30 (fingerprint 8fe377bd13ad0e8c)	8fe377bd13ad0e8c	16	STATIC	engine_b/shim/env/voice_render.c:1059 -- one eb_env_tick per (voice, envelope) = 8 voices x 2 envelopes = 16/sample, and the port runs both envelopes of all 8 voices every sample whatever the polyphony (the 91% idle floor)	222..1,190 (411)	686..4,728 (1,442)	739..3,098 (1,188)	21.1%..88.5% (34.0%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	eb_env_tick makes no libm call (the port's fminf is replaced by a comparison); the band is CPI and rho spread only	python3 tools/engineb/null_b.py --module env	0	0b55b9773926d55e	b41e7139461c5bda	c61169002f223351	bfc14a6e6c51fe67	70d6ce03dcb99c48	30:8fe377bd13ad0e8c	2026-08-02	95d178f	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	The two algebraic simplifications that would have been wrong are refused by construction and documented in eb_envgen.c: the slew constant loses the step's low mantissa bits through exponent 2^3, and the release rate keeps its rel/r cancellation terms.	e0825f18e8ff8cc5
noise_lfsr@c5e740b	noise_lfsr	engine_b/noise_lfsr.h	src/voice_render.c analog-noise LFSR (per-voice block 84272..84436, byte-identical across units -- PROVEN autonomous, docs/RENDER_LOOP_LOG.md)	GREEN	BIT_IDENTICAL	bit-identical over 200,000 consecutive oracle samples (docs/engineb/data/noise_core_200k.npy, float32 bit compare)	EXACTLY 0 (-inf dB)	n/a (exhaustive over the captured sequence)	n/a (not scenario-based)	1	STATIC	engine_b/eb_engine.c steps the SHARED generator exactly once per rendered sample (one instance for the whole engine, not per voice); the port computes it inside every voice	3..16 (6)	6..30 (10)	12..38 (17)	0.3%..1.1% (0.5%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	wrapper is a non-inlined call, so entry/ret is charged that an inlined use would not pay	python3 tools/engineb/ledger.py emit noise_lfsr -> cc engine_b/test_noise_lfsr.c && run	0	32019940d6cd4636	17f9f2da3250d621	42c24da339b50d70	bfc14a6e6c51fe67	0c569a563d804477	30:8fe377bd13ad0e8c	2026-08-02	c5e740b	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	No approximation: the same 25-bit LFSR recurrence and the same float bits after scaling. The ACCURACY_STANDARD claim that 'analog' noise can only be matched spectrally is refuted here by execution.	0ab3359c6501190c
triangle@c5e740b	triangle	engine_b/triangle.h	src/juno_dsp.c:54 juno_triangle	GREEN	BIT_IDENTICAL	bit-identical to src/juno_dsp.c juno_triangle over 4,278,190,082 of 2^32 float32 bit patterns (16,777,214 NaN skipped), 0 mismatches	EXACTLY 0 (-inf dB)	n/a (exhaustive over the whole input domain)	n/a (not scenario-based)	104	MEASURED-ON-ORACLE	callgrind on tools/engineb/cost_harness.c, delta of 1400 and 400 sample runs, 8 voices, patch 0, 48 kHz: 104,000 juno_triangle calls / 1000 samples = 104.0 = 8 voices x 13 voice_render sites; the 3 master_render sites executed 0 times. ENGINE B'S DCO IS NOT WRITTEN, so 104 is the ORACLE'S rate -- the number to BEAT, not engine B's own	1,579..8,861 (3,001)	3,260..24,128 (6,965)	4,519..17,826 (7,188)	129.1%..509.3% (205.4%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	THE RIG'S STATIC COUNT CHARGES 2 fmodf CALLS THAT DO NOT EXECUTE: callgrind measured 0 fmodf calls and 19.0 dynamic x86 instr per juno_triangle call over 104,000 invocations, i.e. the far-out-of-range wrap branch is never taken in the rendered scenarios. The libm term is therefore subtracted here. The un-subtracted worst case is in notes	python3 tools/engineb/ledger.py emit triangle -> cc engine_b/test_triangle.c && run (2^32 sweep, ~85 s)	0	97abc9a354fa393a	2b1d02bf09a1fecc	dfb8f9c0c2737325	bfc14a6e6c51fe67	0c569a563d804477	30:8fe377bd13ad0e8c	2026-08-02	c5e740b	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	Un-subtracted worst case, if the fmodf branch WERE taken every call: s3 13,671..80,226 (26,844) cyc/sample. 	1a01800617762150
env@c5e740b	env	engine_b/eb_envgen.c	src/voice_render.c:965-1075 (ENV1 971-1021, ENV2 1026-1075)	GREEN	NULL_SAMPLE_DOMAIN	30/30 scenarios PASS, 30 of them residual EXACTLY 0	EXACTLY 0	30/30 (fingerprint 8fe377bd13ad0e8c)	8fe377bd13ad0e8c	16	STATIC	engine_b/shim/env/voice_render.c:1059 -- one eb_env_tick per (voice, envelope) = 8 voices x 2 envelopes = 16/sample, and the port runs both envelopes of all 8 voices every sample whatever the polyphony (the 91% idle floor)	222..1,190 (411)	686..4,728 (1,442)	739..3,098 (1,188)	21.1%..88.5% (34.0%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	eb_env_tick makes no libm call (the port's fminf is replaced by a comparison); the band is CPI and rho spread only	python3 tools/engineb/null_b.py --module env	0	434330ef22ad9f46	b41e7139461c5bda	c61169002f223351	bfc14a6e6c51fe67	0c569a563d804477	30:8fe377bd13ad0e8c	2026-08-02	c5e740b	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	The two algebraic simplifications that would have been wrong are refused by construction and documented in eb_envgen.c: the slew constant loses the step's low mantissa bits through exponent 2^3, and the release rate keeps its rel/r cancellation terms.	27acea4db60a244e
noise_lfsr@f5c1ada	noise_lfsr	engine_b/noise_lfsr.h	src/voice_render.c analog-noise LFSR (per-voice block 84272..84436, byte-identical across units -- PROVEN autonomous, docs/RENDER_LOOP_LOG.md)	GREEN	BIT_IDENTICAL	bit-identical over 200,000 consecutive oracle samples (docs/engineb/data/noise_core_200k.npy, float32 bit compare)	EXACTLY 0 (-inf dB)	n/a (exhaustive over the captured sequence)	n/a (not scenario-based)	1	STATIC	engine_b/eb_engine.c steps the SHARED generator exactly once per rendered sample (one instance for the whole engine, not per voice); the port computes it inside every voice	3..16 (6)	6..30 (10)	12..38 (17)	0.3%..1.1% (0.5%)	MODELED (no S3 silicon exists; rho MEASURED-TRANSFERRED from juno_voice_render; tier s3_iram MODELED)	wrapper is a non-inlined call, so entry/ret is charged that an inlined use would not pay	python3 tools/engineb/ledger.py emit noise_lfsr -> cc engine_b/test_noise_lfsr.c && run	0	32019940d6cd4636	17f9f2da3250d621	42c24da339b50d70	bfc14a6e6c51fe67	9adf7f66a34c016d	30:8fe377bd13ad0e8c	2026-08-02	f5c1ada	host=13 s3=16.1.0 m7=13.2.1	PROXY vs src/ (FROZEN transcription). src/ is not ground truth; the plugin binary is. Retire via docs/trackb/THREE_WAY_GATE.md	No approximation: the same 25-bit LFSR recurrence and the same float bits after scaling. The ACCURACY_STANDARD claim that 'analog' noise can only be matched spectrally is refuted here by execution.	59b119c54d30a9ef
